"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","maize","2023-07-01","283.83","310.65","270.01","310.65","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-08-01","310.72","326.91","294.53","310.12","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-09-01","310.11","325.7","294.53","299.73","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-10-01","299.71","314.52","275.91","275.91","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-11-01","275.85","290.03","257.83","257.83","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-12-01","257.79","271.14","244.45","248.87","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-01-01","248.86","261.44","236.27","260.3","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-02-01","260.33","273.38","247.28","252.57","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-03-01","252.54","264.98","240.11","253.96","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-04-01","253.97","270.94","241.74","270.94","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-05-01","270.99","284.43","257.55","270.48","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-06-01","270.47","283.6","257.38","283.6","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-07-01","283.64","316.43","269.82","316.43","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-08-01","316.52","333.67","299.38","311.1","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-09-01","311.08","360.61","294.92","360.61","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-10-01","360.75","434.59","338.67","434.59","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-11-01","434.79","465.92","391.09","391.09","XAF"
"","Cameroon","Market Average","Market Average","maize","2024-12-01","390.98","417.9","339.24","339.24","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-01-01","339.13","362.69","277.75","277.75","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-02-01","277.63","303.41","256.79","303.41","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-03-01","303.49","324.98","281.99","282.03","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-04-01","281.97","300.7","263.24","268.69","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-05-01","268.66","285.31","252.01","263.36","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-06-01","263.35","278.58","248.12","278.13","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-07-01","278.17","293.72","243.69","243.69","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-08-01","243.61","258.17","220.35","220.35","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-09-01","220.3","233.48","199.47","199.47","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-10-01","199.43","211.36","187.5","204.16","XAF"
"","Cameroon","Market Average","Market Average","maize","2025-11-01","204.18","215.66","192.69","199.57","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-04-01","1768.94","1784.78","1756.98","1771.14","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-05-01","1773.08","1787","1759.17","1782.94","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-06-01","1781.67","1794.42","1768.92","1781.68","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-07-01","1783.22","1794.27","1772.16","1775.91","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-08-01","1780.51","1790.81","1770.44","1790.81","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-09-01","1789.91","1799.76","1780.05","1791.57","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-10-01","1792.61","1801.34","1783.89","1790.8","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-11-01","1793.43","1801.99","1785.62","1801.99","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2010-12-01","1801.32","1809.2","1793.45","1800.2","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-01-01","1802.27","1809.38","1795.16","1797.33","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-03-01","1808.87","1815.88","1801.86","1808.15","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-04-01","1810.19","1826.17","1803.77","1826.17","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-05-01","1822.8","1831.64","1813.97","1828.26","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-06-01","1827.55","1835.73","1817.76","1817.76","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-07-01","1822.82","1831.11","1814.53","1829.93","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-08-01","1830.27","1838.29","1822.25","1837.7","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-09-01","1837.02","1844.87","1829.17","1843.69","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-10-01","1843.09","1850.69","1835.48","1837.94","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-11-01","1841.45","1850.34","1834.26","1850.34","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2011-12-01","1849.77","1857.3","1842.25","1856.05","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-01-01","1855.62","1863.35","1848.31","1863.35","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-02-01","1862.44","1869.84","1846.27","1846.27","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-03-01","1853.5","1862.78","1844.23","1856.89","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-04-01","1858.98","1867.38","1850.58","1853.58","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-05-01","1857.71","1865.55","1849.88","1859.75","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-06-01","1861.71","1871.81","1854.55","1871.81","XAF"
"","Cameroon","Market Average","Market Average","meat_beef","2012-07-01","1870.54","1878.3","1862.79","1871.29","XAF"
